,date,symbol,symbol_name,action,price,shares,commission,return
126,2019-05-06,518880,黄金ETF,sell,2.793,,2.5136999999999996,0.0017934002869441671
127,2019-05-06,513100,纳指ETF,sell,0.545,,2.1582,0.04606525911708257
128,2019-05-06,513500,标普500ETF,sell,0.915,,1.7018999999999997,0.029246344206974154
129,2019-05-06,510880,红利ETF,sell,1.959,,1.1754,-0.11517615176151758
130,2019-05-06,511270,10年地方债ETF,buy,81.261,100.0,2.4378299999999995,
131,2019-05-06,518880,黄金ETF,buy,2.793,3000.0,2.5136999999999996,
132,2019-05-06,513100,纳指ETF,buy,0.545,12600.0,2.0601000000000003,
133,2019-05-06,513500,标普500ETF,buy,0.915,6000.0,1.6469999999999998,
134,2019-05-06,510880,红利ETF,buy,1.959,2200.0,1.29294,
135,2019-06-03,511270,10年地方债ETF,sell,81.911,,2.45733,0.007998917069689098
136,2019-06-03,518880,黄金ETF,sell,2.914,,2.6226,0.04332259219477264
137,2019-06-03,513100,纳指ETF,sell,0.508,,1.92024,-0.0678899082568808
138,2019-06-03,513500,标普500ETF,sell,0.879,,1.5821999999999998,-0.039344262295082
139,2019-06-03,510880,红利ETF,sell,1.919,,1.26654,-0.020418580908626867
140,2019-06-03,511270,10年地方债ETF,buy,81.911,100.0,2.45733,
141,2019-06-03,518880,黄金ETF,buy,2.914,2900.0,2.53518,
142,2019-06-03,513100,纳指ETF,buy,0.508,13400.0,2.04216,
143,2019-06-03,513500,标普500ETF,buy,0.879,6200.0,1.6349399999999998,
144,2019-06-03,510880,红利ETF,buy,1.919,2200.0,1.26654,
145,2019-07-01,511270,10年地方债ETF,sell,82.5,,2.4749999999999996,0.00719073140359657
146,2019-07-01,518880,黄金ETF,sell,3.034,,2.639579999999999,0.04118050789293056
147,2019-07-01,513100,纳指ETF,sell,0.555,,2.2311,0.09251968503937016
148,2019-07-01,513500,标普500ETF,sell,0.956,,1.7781599999999997,0.08759954493742884
149,2019-07-01,510880,红利ETF,sell,2.044,,1.34904,0.06513809275664409
150,2019-07-01,511270,10年地方债ETF,buy,82.5,100.0,2.4749999999999996,
151,2019-07-01,518880,黄金ETF,buy,3.034,2900.0,2.639579999999999,
152,2019-07-01,513100,纳指ETF,buy,0.555,12700.0,2.11455,
153,2019-07-01,513500,标普500ETF,buy,0.956,5900.0,1.6921199999999998,
154,2019-07-01,510880,红利ETF,buy,2.044,2200.0,1.34904,
